2024-01-03 23:26:40,822 INFO    MainThread:41952 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-01-03 23:26:40,823 INFO    MainThread:41952 [wandb_setup.py:_flush():76] Configure stats pid to 41952
2024-01-03 23:26:40,823 INFO    MainThread:41952 [wandb_setup.py:_flush():76] Loading settings from /cluster/home/yutang/.config/wandb/settings
2024-01-03 23:26:40,823 INFO    MainThread:41952 [wandb_setup.py:_flush():76] Loading settings from /cluster/home/yutang/Deep-Knowledge-Tracing/DKT/KnowledgeTracing/evaluation/wandb/settings
2024-01-03 23:26:40,823 INFO    MainThread:41952 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-03 23:26:40,823 INFO    MainThread:41952 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-03 23:26:40,823 INFO    MainThread:41952 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'DKT/KnowledgeTracing/evaluation/run.py', 'program_abspath': '/cluster/home/yutang/Deep-Knowledge-Tracing/DKT/KnowledgeTracing/evaluation/run.py', 'program': '/cluster/home/yutang/Deep-Knowledge-Tracing/DKT/KnowledgeTracing/evaluation/./run.py'}
2024-01-03 23:26:40,823 INFO    MainThread:41952 [wandb_init.py:_log_setup():524] Logging user logs to /cluster/home/yutang/Deep-Knowledge-Tracing/DKT/KnowledgeTracing/evaluation/wandb/run-20240103_232640-4d2c2yh9/logs/debug.log
2024-01-03 23:26:40,823 INFO    MainThread:41952 [wandb_init.py:_log_setup():525] Logging internal logs to /cluster/home/yutang/Deep-Knowledge-Tracing/DKT/KnowledgeTracing/evaluation/wandb/run-20240103_232640-4d2c2yh9/logs/debug-internal.log
2024-01-03 23:26:40,823 INFO    MainThread:41952 [wandb_init.py:init():564] calling init triggers
2024-01-03 23:26:40,823 INFO    MainThread:41952 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2024-01-03 23:26:40,823 INFO    MainThread:41952 [wandb_init.py:init():614] starting backend
2024-01-03 23:26:40,823 INFO    MainThread:41952 [wandb_init.py:init():618] setting up manager
2024-01-03 23:26:40,825 INFO    MainThread:41952 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-03 23:26:40,828 INFO    MainThread:41952 [wandb_init.py:init():624] backend started and connected
2024-01-03 23:26:40,834 INFO    MainThread:41952 [wandb_init.py:init():716] updated telemetry
2024-01-03 23:26:40,863 INFO    MainThread:41952 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-01-03 23:26:41,275 INFO    MainThread:41952 [wandb_run.py:_on_init():2254] communicating current version
2024-01-03 23:26:41,301 INFO    MainThread:41952 [wandb_run.py:_on_init():2263] got version response 
2024-01-03 23:26:41,301 INFO    MainThread:41952 [wandb_init.py:init():800] starting run threads in backend
2024-01-03 23:26:44,483 INFO    MainThread:41952 [wandb_run.py:_console_start():2233] atexit reg
2024-01-03 23:26:44,485 INFO    MainThread:41952 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-03 23:26:44,485 INFO    MainThread:41952 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-03 23:26:44,485 INFO    MainThread:41952 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-03 23:26:44,486 INFO    MainThread:41952 [wandb_init.py:init():841] run started, returning control to user process
2024-01-04 14:14:54,943 INFO    MainThread:41952 [wandb_run.py:_finish():1962] finishing run bryant-tang-ethz/DKT-trial 1/4d2c2yh9
2024-01-04 14:14:54,944 INFO    MainThread:41952 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2024-01-04 14:14:54,945 INFO    MainThread:41952 [wandb_run.py:_restore():2185] restore
2024-01-04 14:14:54,945 INFO    MainThread:41952 [wandb_run.py:_restore():2191] restore done
